Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.3710770606994629, 0.3480193018913269)) 	 Right eye: ((0.4450816810131073, 0.3465489447116852))
Left eye: ((0.3650403916835785, 0.3517386317253113)) 	 Right eye: ((0.44777166843414307, 0.347363144159317))
Left eye: ((0.3664853572845459, 0.35979244112968445)) 	 Right eye: ((0.44729191064834595, 0.35095253586769104))
Left eye: ((0.36765816807746887, 0.3564597964286804)) 	 Right eye: ((0.44914063811302185, 0.3457244336605072))
Left eye: ((0.3682543635368347, 0.3499174416065216)) 	 Right eye: ((0.4517305791378021, 0.33618515729904175))
Left eye: ((0.366656631231308, 0.3451070487499237)) 	 Right eye: ((0.4540257453918457, 0.3443710505962372))
Left eye: ((0.36755648255348206, 0.34925001859664917)) 	 Right eye: ((0.45391494035720825, 0.3426862359046936))
Left eye: ((0.3316577076911926, 0.3747369050979614)) 	 Right eye: ((0.4012095630168915, 0.3488599956035614))
Left eye: ((0.1988871693611145, 0.395294189453125)) 	 Right eye: ((0.2666967809200287, 0.34374627470970154))
Left eye: ((0.18824101984500885, 0.3984869420528412)) 	 Right eye: ((0.23933294415473938, 0.35460883378982544))
Left eye: ((0.19099090993404388, 0.387949138879776)) 	 Right eye: ((0.24816906452178955, 0.35091328620910645))
Left eye: ((0.19753797352313995, 0.3873046040534973)) 	 Right eye: ((0.2463112324476242, 0.3552790880203247))
Left eye: ((0.18664655089378357, 0.38721758127212524)) 	 Right eye: ((0.2452094852924347, 0.3545413911342621))
Left eye: ((0.18641771376132965, 0.3819272816181183)) 	 Right eye: ((0.2408122420310974, 0.351518839597702))
Left eye: ((0.18481062352657318, 0.37490108609199524)) 	 Right eye: ((0.24211332201957703, 0.346161425113678))
Left eye: ((0.18525780737400055, 0.38262617588043213)) 	 Right eye: ((0.24998001754283905, 0.34980159997940063))
Left eye: ((0.1842542141675949, 0.3786001205444336)) 	 Right eye: ((0.24645741283893585, 0.3445221483707428))
Left eye: ((0.1837644726037979, 0.39186179637908936)) 	 Right eye: ((0.24309410154819489, 0.34510692954063416))
Left eye: ((0.18787764012813568, 0.3861249089241028)) 	 Right eye: ((0.24544641375541687, 0.34980103373527527))
Left eye: ((0.18402744829654694, 0.3866296708583832)) 	 Right eye: ((0.2498520165681839, 0.3450916111469269))
Left eye: ((0.18013839423656464, 0.38347479701042175)) 	 Right eye: ((0.2491854876279831, 0.35869598388671875))
Left eye: ((0.1845403015613556, 0.3744170367717743)) 	 Right eye: ((0.24616630375385284, 0.3511413633823395))
Left eye: ((0.18593791127204895, 0.37826138734817505)) 	 Right eye: ((0.24741967022418976, 0.3493187129497528))
Left eye: ((0.18688443303108215, 0.3799614906311035)) 	 Right eye: ((0.24993251264095306, 0.35620880126953125))
Left eye: ((0.18648314476013184, 0.3689889907836914)) 	 Right eye: ((0.24589072167873383, 0.3529401123523712))
Left eye: ((0.18801839649677277, 0.3709124028682709)) 	 Right eye: ((0.24694383144378662, 0.3522922694683075))
Left eye: ((0.18400445580482483, 0.3738939166069031)) 	 Right eye: ((0.24208922684192657, 0.34637725353240967))
Left eye: ((0.18372873961925507, 0.3788999617099762)) 	 Right eye: ((0.24344944953918457, 0.34616410732269287))
Left eye: ((0.18258704245090485, 0.37606382369995117)) 	 Right eye: ((0.23908935487270355, 0.35359179973602295))
Left eye: ((0.18284335732460022, 0.36740103363990784)) 	 Right eye: ((0.23781558871269226, 0.36358121037483215))
Left eye: ((0.18318058550357819, 0.3677304685115814)) 	 Right eye: ((0.24356430768966675, 0.3567192852497101))
Left eye: ((0.19028903543949127, 0.35376113653182983)) 	 Right eye: ((0.2457268238067627, 0.34113869071006775))
Left eye: ((0.18835845589637756, 0.36273226141929626)) 	 Right eye: ((0.24606572091579437, 0.33379310369491577))
Left eye: ((0.18774129450321198, 0.3615684509277344)) 	 Right eye: ((0.24413521587848663, 0.33878690004348755))
