timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2024-04-19 10:34:22.373819,"(0.08832854777574539, 0.25850117206573486)",1,"(0.06674247980117798, 0.28434860706329346)",1,4.944000244140625,1,5.1135101318359375,1
2024-04-19 10:34:22.390080,"(0.09087996184825897, 0.25318193435668945)",1,"(0.06275076419115067, 0.29100123047828674)",1,4.935638427734375,1,5.0973052978515625,1
2024-04-19 10:34:22.406792,"(0.09174341708421707, 0.2543466091156006)",1,"(0.06644818186759949, 0.29258406162261963)",1,4.9296112060546875,1,5.087799072265625,1
2024-04-19 10:34:22.424171,"(0.08854307979345322, 0.2594687044620514)",1,"(0.06787807494401932, 0.2939244210720062)",1,4.9140777587890625,1,5.0784759521484375,1
2024-04-19 10:34:22.440320,"(0.08852691203355789, 0.26372113823890686)",1,"(0.0694330558180809, 0.29721128940582275)",1,4.9021453857421875,1,5.0691986083984375,1
2024-04-19 10:34:22.456655,"(0.08665952831506729, 0.264942467212677)",1,"(0.0627741888165474, 0.2953854203224182)",1,4.8938446044921875,1,5.0595245361328125,1
2024-04-19 10:34:22.473618,"(0.08598282188177109, 0.26362138986587524)",1,"(0.06093551218509674, 0.29197442531585693)",1,4.8841400146484375,1,5.049468994140625,1
2024-04-19 10:34:22.489970,"(0.08502505719661713, 0.26312941312789917)",1,"(0.06120987981557846, 0.29332953691482544)",1,4.8744964599609375,1,5.047119140625,1
2024-04-19 10:34:22.506405,"(0.08816299587488174, 0.2763434946537018)",1,"(0.069711834192276, 0.3053320348262787)",1,4.8539886474609375,1,5.0424957275390625,1
2024-04-19 10:34:22.523145,"(0.09014881402254105, 0.2783881723880768)",1,"(0.07282652705907822, 0.31329116225242615)",1,4.83795166015625,1,5.03955078125,1
2024-04-19 10:34:22.539758,"(0.09069237858057022, 0.27300235629081726)",1,"(0.07515785098075867, 0.3092775344848633)",1,4.838714599609375,1,5.038665771484375,1
2024-04-19 10:34:22.556660,"(0.09250845015048981, 0.27518489956855774)",1,"(0.07335023581981659, 0.3062669336795807)",1,4.8444061279296875,1,5.0258026123046875,1
2024-04-19 10:34:22.573391,"(0.09545345604419708, 0.26478350162506104)",1,"(0.07299882918596268, 0.29758578538894653)",1,4.8434295654296875,1,5.027313232421875,1
2024-04-19 10:34:22.590030,"(0.09267877042293549, 0.26657962799072266)",1,"(0.07326430827379227, 0.29749932885169983)",1,4.820587158203125,1,5.0394744873046875,1
2024-04-19 10:34:22.606604,"(0.09233839809894562, 0.27158814668655396)",1,"(0.07075049728155136, 0.2963694930076599)",1,4.8174285888671875,1,5.03912353515625,1
2024-04-19 10:34:22.623080,"(0.09033681452274323, 0.27474674582481384)",1,"(0.07102029770612717, 0.30087020993232727)",1,4.8175048828125,1,5.032501220703125,1
2024-04-19 10:34:22.639573,"(0.09109435230493546, 0.26679879426956177)",1,"(0.06852063536643982, 0.3071311414241791)",1,4.81793212890625,1,5.0235443115234375,1
2024-04-19 10:34:22.656300,"(0.0958389937877655, 0.26332178711891174)",1,"(0.06703659147024155, 0.3107002377510071)",1,4.812469482421875,1,5.0192108154296875,1
2024-04-19 10:34:22.673117,"(0.09389813244342804, 0.2660966217517853)",1,"(0.06581228971481323, 0.31736940145492554)",1,4.805511474609375,1,5.0114898681640625,1
2024-04-19 10:34:22.689727,"(0.09652236104011536, 0.2643249034881592)",1,"(0.06696660071611404, 0.3099185824394226)",1,4.815460205078125,1,5.010894775390625,1
2024-04-19 10:34:22.706119,"(0.09615187346935272, 0.26188528537750244)",1,"(0.07181759178638458, 0.31059956550598145)",1,4.8070220947265625,1,5.02484130859375,1
2024-04-19 10:34:22.722930,"(0.09595178067684174, 0.26504701375961304)",1,"(0.07441549003124237, 0.30550652742385864)",1,4.7924041748046875,1,5.0180206298828125,1
2024-04-19 10:34:22.739475,"(0.09397740662097931, 0.26343047618865967)",1,"(0.07444131374359131, 0.30768489837646484)",1,4.774993896484375,1,4.9989166259765625,1
2024-04-19 10:34:22.756077,"(0.13268254697322845, 0.24661867320537567)",1,"(0.1277383416891098, 0.3074016869068146)",1,4.7991790771484375,1,5.0066986083984375,1
2024-04-19 10:34:22.772772,"(0.2012845128774643, 0.24022623896598816)",1,"(0.1761060208082199, 0.29471349716186523)",1,4.7849884033203125,1,4.97271728515625,1
2024-04-19 10:34:22.789544,"(0.20389509201049805, 0.23633824288845062)",1,"(0.188466876745224, 0.2859596312046051)",1,4.78265380859375,1,4.9786376953125,1
2024-04-19 10:34:22.806073,"(0.19667905569076538, 0.2443266659975052)",1,"(0.18825450539588928, 0.2859916687011719)",1,4.7666778564453125,1,4.961578369140625,1
2024-04-19 10:34:22.822730,"(0.201872318983078, 0.2501720190048218)",1,"(0.19408796727657318, 0.2767757475376129)",1,4.7695465087890625,1,4.9474029541015625,1
2024-04-19 10:34:22.839264,"(0.20226195454597473, 0.2390912026166916)",1,"(0.19351263344287872, 0.28036803007125854)",1,4.7709808349609375,1,4.950347900390625,1
2024-04-19 10:34:22.855900,"(0.20195703208446503, 0.2410571575164795)",1,"(0.20139944553375244, 0.27564525604248047)",1,4.7593841552734375,1,4.9633026123046875,1
2024-04-19 10:34:22.872971,"(0.21106623113155365, 0.24135510623455048)",1,"(0.19621577858924866, 0.26762017607688904)",1,4.763092041015625,1,4.9611663818359375,1
2024-04-19 10:34:22.889203,"(0.20835085213184357, 0.23356978595256805)",1,"(0.19435997307300568, 0.26476505398750305)",1,4.762359619140625,1,4.9705047607421875,1
2024-04-19 10:34:22.905746,"(0.20994128286838531, 0.2299365997314453)",1,"(0.19090941548347473, 0.27238336205482483)",1,4.7671966552734375,1,4.954315185546875,1
2024-04-19 10:34:22.922718,"(0.2092408388853073, 0.2305811643600464)",1,"(0.19791783392429352, 0.2892410457134247)",1,4.7671356201171875,1,4.9403228759765625,1
2024-04-19 10:34:22.939201,"(0.2305372804403305, 0.2302144467830658)",1,"(0.224661722779274, 0.29874181747436523)",1,4.7570953369140625,1,4.9268951416015625,1
